교과,지역,원본값,연도,배치,지원,커트라인
임업,부천,,2022,0,0,0.0
원예,부천,,2022,0,0,0.0
조경,부천,,2022,0,0,0.0
식물자원조경,부천,,2022,0,0,0.0
축산,부천,,2022,0,0,0.0
잠업,부천,,2022,0,0,0.0
동물자원,부천,,2022,0,0,0.0
식품가공,부천,,2022,0,0,0.0
농토목,부천,,2022,0,0,0.0
농업기계,부천,,2022,0,0,0.0
농기계,부천,,2022,0,0,0.0
농업토목,부천,,2022,0,0,0.0
농공,부천,,2022,0,0,0.0
공업,부천,,2022,0,0,0.0
건축,부천,,2022,0,0,0.0
토목,부천,,2022,0,0,0.0
건설,부천,1/1(5.0),2022,1,1,5.0
전기,부천,,2022,0,0,0.0
전자,부천,,2022,0,0,0.0
통신,부천,,2022,0,0,0.0
전기전자통신,부천,,2022,0,0,0.0
화공,부천,,2022,0,0,0.0
섬유,부천,,2022,0,0,0.0
화공섬유,부천,,2022,0,0,0.0
금속,부천,,2022,0,0,0.0
기계,부천,,2022,0,0,0.0
재료,부천,,2022,0,0,0.0
자동차,부천,,2022,0,0,0.0
기계금속,부천,2/3(4.0),2022,2,3,4.0
환경,부천,,2022,0,0,0.0
상업정보,부천,4/6(2.0),2022,4,6,2.0
공예,부천,,2022,0,0,0.0
디자인,부천,,2022,0,0,0.0
디자인공예,부천,,2022,0,0,0.0
정보컴퓨터,부천,2/2(3.0),2022,2,2,3.0
전자계산,부천,,2022,0,0,0.0
의상,부천,,2022,0,0,0.0
철학,부천,,2022,0,0,0.0
관광,부천,,2022,0,0,0.0
요업,부천,,2022,0,0,0.0
세라믹,부천,,2022,0,0,0.0
농산물유통,부천,,2022,0,0,0.0
미용,부천,,2022,0,0,0.0
조리,부천,,2022,0,0,0.0
연극영화,부천,1/1,2022,1,1,0.0
만화,부천,,2022,0,0,0.0
심리학,부천,,2022,0,0,0.0
진로진학상담,부천,4/4(2.7),2022,4,4,2.7
전문상담,부천,5/10(4.0),2022,5,10,4.0
특수,부천,,2022,0,0,0.0
보건,부천,,2022,0,0,0.0
사서,부천,,2022,0,0,0.0
영양,부천,,2022,0,0,0.0
교육학,부천,,2022,0,0,0.0
도덕윤리,광명,6/6(3.0),2022,6,6,3.0
국어,광명,11/53(8.6),2022,11,53,8.6
수학,광명,22/37(5.0),2022,22,37,5.0
일반사회,광명,5/11(5.4),2022,5,11,5.4
역사,광명,6/15(5.2),2022,6,15,5.2
지리,광명,2/3(5.6),2022,2,3,5.6
통합사회,광명,2/3(6.0),2022,2,3,6.0
물리,광명,4/8(7.6),2022,4,8,7.6
화학,광명,5/14(6.8),2022,5,14,6.8
생물,광명,2/7(7.6),2022,2,7,7.6
지구과학,광명,4/12(7.2),2022,4,12,7.2
통합과학,광명,2/2(4.0),2022,2,2,4.0
체육,광명,10/10(2.3),2022,10,10,2.3
음악,광명,6/6(5.0),2022,6,6,5.0
미술,광명,8/11(4.3),2022,8,11,4.3
한문,광명,4/8(5.0),2022,4,8,5.0
영어,광명,17/33(6.0),2022,17,33,6.0
일본어,광명,2/4(6.0),2022,2,4,6.0
중국어,광명,2/10(5.10),2022,2,10,5.1
독일어,광명,,2022,0,0,0.0
프랑스어,광명,,2022,0,0,0.0
러시아어,광명,,2022,0,0,0.0
스페인어,광명,,2022,0,0,0.0
아랍어,광명,,2022,0,0,0.0
기술가정,광명,,2022,0,0,0.0
기술,광명,1/3(5.2),2022,1,3,5.2
가정,광명,3/6(5.0),2022,3,6,5.0
농업,광명,,2022,0,0,0.0
임업,광명,,2022,0,0,0.0
원예,광명,,2022,0,0,0.0
조경,광명,,2022,0,0,0.0
식물자원조경,광명,,2022,0,0,0.0
축산,광명,,2022,0,0,0.0
잠업,광명,,2022,0,0,0.0
동물자원,광명,,2022,0,0,0.0
식품가공,광명,,2022,0,0,0.0
농토목,광명,,2022,0,0,0.0
농업기계,광명,,2022,0,0,0.0
농기계,광명,,2022,0,0,0.0
농업토목,광명,,2022,0,0,0.0
농공,광명,,2022,0,0,0.0
공업,광명,,2022,0,0,0.0
건축,광명,,2022,0,0,0.0
토목,광명,,2022,0,0,0.0
건설,광명,,2022,0,0,0.0
전기,광명,,2022,0,0,0.0
전자,광명,,2022,0,0,0.0
통신,광명,,2022,0,0,0.0
전기전자통신,광명,,2022,0,0,0.0
화공,광명,,2022,0,0,0.0
섬유,광명,,2022,0,0,0.0
화공섬유,광명,,2022,0,0,0.0
금속,광명,,2022,0,0,0.0
기계,광명,,2022,0,0,0.0
재료,광명,,2022,0,0,0.0
자동차,광명,,2022,0,0,0.0
기계금속,광명,,2022,0,0,0.0
환경,광명,,2022,0,0,0.0
상업정보,광명,7/7(4.0),2022,7,7,4.0
공예,광명,,2022,0,0,0.0
디자인,광명,,2022,0,0,0.0
디자인공예,광명,,2022,0,0,0.0
정보컴퓨터,광명,2/2(2.0),2022,2,2,2.0
전자계산,광명,,2022,0,0,0.0
의상,광명,,2022,0,0,0.0
철학,광명,,2022,0,0,0.0
관광,광명,1/1(5.0),2022,1,1,5.0
요업,광명,,2022,0,0,0.0
세라믹,광명,,2022,0,0,0.0
농산물유통,광명,,2022,0,0,0.0
