"2024. 3. 1. 청간전보년수 커트라인(중등)_전문상담,보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)_1희망지 기준",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
전기전자통신,4/5(5.0),1/1(5.0),3/7(5.0),2/3(5.4),,,2/2(4.0),1/3(7.6),,,,,,,,1/1(4.0),1/1(4.0),3/3(2.7),,3/3(2.7),1/1(5.2),,,1/1,1/1(4.6)
화공,,,,,,,,,,,,,,,,1/1(3.0),,,,,,,,,
섬유,,,,,,,,,,,,,,,,,,,,,,,,,
화공섬유,,,2/2(5.0),,,,,1/1(4.0),,,,,,,,1/1(5.9),2/2(6.6),,,2/2(5.0),,,,,
금속,,,,,,,,,,,,,,,,,,,,,,,,,
기계,1/1,,,,,,,,,,,,,,,,,,,,,,,,
재료,,,,,,,,,,,,,,,,,,,,,,,,,
자동차,,,,,,,,,,,,,,,,,,,,,,,,,
기계금속,4/4,,2/3(5.0),,,,6/6(1.0),,,,,,,,,1/1(3.0),4/4(6.9),3/3(6.0),,,,,1/1(3.10),,
환경,,,,,,,,,,,,,,,,,,,,,,,,,
상업정보,,2/2(4.6),,4/11(3.10),3/3(6.0),4/4(2.0),5/5(3.0),2/3(8.9),,5/5(4.0),6/6(3.6),,,,1/1(5.0),,,,,,4/4(2.0),,,,
공예,,,,,,,,,,,,,,,,,,,,,,,,,
디자인,,,,,,,,,,,,,,,,,,,,,,,,,
디자인공예,,1/1(3.0),1/1(4.2),1/1(3.0),,,,2/2(4.6),,1/1(5.0),1/1(5.0),,,,,,1/1(2.6),,,1/1(10.0),,,,,
정보컴퓨터,11/11(2.7),8/11(3.10),7/7(2.0),3/3(2.7),5/9(7.0),3/3(5.0),3/3(2.0),3/3(4.8),1/1(5.0),7/7(2.0),3/3(3.0),,1/1(4.3),12/12(3.0),1/1(4.0),2/2(4.6),4/4(1.0),2/2(5.6),3/3(1.6),12/12(1.0),5/5(3.0),9/9(3.0),,1/1(7.3),2/2(4.6)
전자계산,,,,,,,,,,,,,,,,,,,,,,,,,
의상,,,,,,,,,,,,,,,,,,,,,,,,,
철학,,,,,,,,,,,,,,,,,,,,,,,,,
관광,,1/1(2.0),1/1(4.0),,,,,,,,,,,,,,,,,,,,,,
요업,,,,,,,,,,,,,,,,,,,,,,,,,
세라믹,,,,,,,,,,,,,,,,,,,,,,,,,
농산물유통,,,,,,,,,,,,,,,,,,,,,,,,,
미용,,,,,,,,,,,,,,,,,,,,1/1(1.0),,,,,
조리,,,,,,,,,,,,,,,,,,,,1/1(2.0),,,,,
연극영화,,,,,,,,,,,2/2(5.0),,,1/1(5.0),,,,,,1/1(2.6),,,,,
만화,,,,,,,,,,,,,,,,,,,,,,,,,
심리학,,,,,,,,,,,,,,,,,,,,,,,,,
진로진학상담,3/3(5.2),,3/3(3.0),1/1(6.0),1/5(6.6),,,2/5(3.10),,,2/2(4.6),1/1(3.0),2/2(1.0),1/1(2.0),,,1/1(3.0),1/4(8.10),1/1(4.0),5/5(2.7),3/3(5.0),1/1(3.0),,2/2(4.0),
전문상담,4/11(5.6),4/7(5.6),1/5(7.6),7/7(2.10),1/3(4.0),,1/1(6.6),5/8(5.2),,4/6(4.0),1/1(4.0),,2/2(4.3),2/5(5.3),,,,3/9(7.6),1/4(5.2),4/7(5.0),6/6(3.0),,,,
보건,5/16(5.6),3/12(5.0),3/7(6.9),7/7(2.7),3/7(5.0),3/3(3.10),,4/8(5.0),2/2(4.0),2/2(3.0),4/4(2.3),,2/2(2.7),7/7(2.7),1/1(4.6),2/2(2.0),3/3(2.0),2/6(7.2),2/2(1.2),8/8(2.0),7/7(4.0),4/4(5.0),,,
사서,1/1(4.0),,1/1(6.2),,,1/1(8.0),1/1(8.0),,,2/2(2.0),2/2(2.7),,1/1(3.1),1/1(6.6),,,,1/1(6.11),,1/1(4.6),1/1(6.0),1/1(2.0),,,
