"2023. 3. 1.자 청간전보년수 커트라인(중등)_보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
디자인,,,,,,,,,,,,,,,,,,,,,,,,,
디자인공예,1/1(5.0),3/3(4.0),2/2(4.6),,1/1(10.0),2/3(3.0),,1/1(5.0),,,1/1(5.0),,,,,,,,,1/1(2.6),,,,,
정보컴퓨터,10/10(2.0),12/15(3.0),12/12(3.0),5/5(3.0),3/4(5.0),2/2(3.0),1/1(5.3),5/5(3.0),1/1,5/5(5.0),5/5(4.0),,,9/9(2.0),,3/3(5.0),4/4(2.7),7/7(3.10),1/1(5.1),8/8(3.0),5/5(1.0),5/8(5.0),1/1(1.0),,
전자계산,,,,,,,,,,,,,,,,,,,,,,,,,
의상,,,,,,,,,,,,,,,,,,,,,,,,,
철학,,,,,,,,,,,,,,,,,,,,,,,,,
관광,,1/1(4.1),,,1/1(5.0),,,,,1/1(4.0),,,,,,,,,,,,,,,
요업,,,,,,,,,,,,,,,,,,,,,,,,,
세라믹,,,,,,,,,,,,,,,,,,,,,,,,,
농산물유통,,,,,,,,,,,,,,,,,,,,,,,,,
미용,,,,,,,,,,,,,,,,,,,,,,,,,
조리,,,,,,,,,,,,,,,,,,,,,,,,,
연극영화,,1/1(4.0),,,,,,,,,,,,,,,,,,,,,,,
만화,,,,,,,,,,,,,,,,,,,,,,,,,
심리학,,,,,,,,,,,,,,,,,,,,,,,,,
진로진학상담,12/12(3.4),7/7(3.0),2/2(2.7),5/5(2.3),7/8(2.7),1/1(5.4),2/2(2.0),7/7(2.0),,3/3(7.6),,,,3/3(7.3),,1/1(5.0),1/1(9.6),1/8(10.9),,2/2(4.0),2/2(4.0),2/2(5.0),,1/1(7.6),2/2(4.10)
전문상담,7/11(4.2),5/13(6.0),4/10(6.5),6/10(4.3),3/5(4.6),1/1(6.10),,2/2(6.0),,4/6(3.10),6/7(2.7),,,6/7(4.0),,2/4(5.0),1/1(4.0),3/5(6.6),1/1(5.0),4/4(4.0),2/2(2.7),1/1(4.9),,,1/1(3.0)
보건,11/14(2.11),7/20(5.2),5/10(7.2),5/5(4.6),2/4(5.0),1/1(2.7),4/4(3.10),3/7(5.0),,5/5(3.0),4/4(2.0),1/1(5.0),1/1(3.0),8/8(2.0),2/2(4.0),2/2(3.0),3/3(3.6),4/8(6.5),1/1(9.9),7/9(5.6),8/8(1.0),1/1(4.0),,,
사서,3/3(2.7),3/3(2.7),1/1(4.0),1/1(6.9),,,1/1(3.10),,1/1(10.0),,1/1(8.0),,,1/1(2.7),,,,2/2(5.6),,,,,,,
영양,,,,,,,,,,,,,,,,,,,,,,,,,
교육학,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
